Assembly	contigs
# contigs (>= 0 bp)	602
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	56888
Total length (>= 1000 bp)	2176
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	1095
Total length	3226
Reference length	29903
GC (%)	40.39
Reference GC (%)	37.97
N50	1081
N75	541
L50	2
L75	3
# unaligned contigs	4 + 0 part
Unaligned length	3226
# N's per 100 kbp	0.00
NGA50	-
