Assembly	SRR12045842_scaffolds
# contigs (>= 0 bp)	1223
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	57500
Total length (>= 1000 bp)	1178
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	1178
Total length	2968
Reference length	29903
GC (%)	59.52
Reference GC (%)	37.97
N50	669
N75	568
L50	2
L75	3
# unaligned contigs	4 + 0 part
Unaligned length	2968
# N's per 100 kbp	6772.24
NGA50	-
