Assembly	contigs
# contigs (>= 0 bp)	13
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	6327
Total length (>= 1000 bp)	1566
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	1566
Total length	3513
Reference length	29903
GC (%)	57.07
Reference GC (%)	37.97
N50	791
N75	635
L50	2
L75	3
# unaligned contigs	4 + 0 part
Unaligned length	3513
# N's per 100 kbp	0.00
NGA50	-
