Assembly	SRR12045842_scaffolds
# contigs (>= 0 bp)	23
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	7642
Total length (>= 1000 bp)	1616
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	1616
Total length	4092
Reference length	29903
GC (%)	55.96
Reference GC (%)	37.97
N50	676
N75	617
L50	2
L75	4
# unaligned contigs	5 + 0 part
Unaligned length	4092
# N's per 100 kbp	0.00
NGA50	-
