Assembly	contigs
# contigs (>= 0 bp)	1185
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	103798
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	572
Total length	5349
Reference length	29903
GC (%)	48.42
Reference GC (%)	37.97
N50	534
N75	509
L50	5
L75	8
# unaligned contigs	10 + 0 part
Unaligned length	5349
# N's per 100 kbp	0.00
NGA50	-
