Assembly	contigs
# contigs (>= 0 bp)	1619
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	87078
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	500
Total length	500
Reference length	29903
GC (%)	51.40
Reference GC (%)	37.97
N50	500
N75	500
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	500
# N's per 100 kbp	0.00
NGA50	-
