Assembly	contigs
# contigs (>= 0 bp)	2084
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	283062
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	515
Total length	515
Reference length	29903
GC (%)	45.05
Reference GC (%)	37.97
N50	515
N75	515
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	515
# N's per 100 kbp	0.00
NGA50	-
