Assembler,Sample,Ram_percentage
ray63,ERR4316795,18.5
ray99,ERR4316795,18.6
megahit,ERR4316392,13.5
trinity,ERR4316392,12.8
spades,ERR4316392,23.6
metaspades,ERR4316392,33.0
abyss21,ERR4316392,17.3
abyss63,ERR4316392,17.5
abyss99,ERR4316392,17.6
velvet21,ERR4316392,19.1
metavelvet21,ERR4316392,17.8
velvet63,ERR4316392,15.9
metavelvet63,ERR4316392,15.9
velvet99,ERR4316392,15.9
metavelvet99,ERR4316392,15.9
ray21,ERR4316392,17.5
ray63,ERR4316392,17.7
ray99,ERR4316392,17.7
megahit,ERR4316516,15.3
trinity,ERR4316516,14.3
spades,ERR4316516,29.2
metaspades,ERR4316516,38.0
abyss21,ERR4316516,19.3
abyss63,ERR4316516,19.7
abyss99,ERR4316516,19.7
velvet21,ERR4316516,22.8
metavelvet21,ERR4316516,22.9
velvet63,ERR4316516,19.4
metavelvet63,ERR4316516,19.3
velvet99,ERR4316516,19.4
metavelvet99,ERR4316516,19.3
ray21,ERR4316516,20.7
ray63,ERR4316516,20.7
ray99,ERR4316516,20.7
megahit,ERR4326275,14.9
trinity,ERR4326275,14.4
spades,ERR4326275,21.0
metaspades,ERR4326275,32.9
abyss21,ERR4326275,19.0
abyss63,ERR4326275,19.0
abyss99,ERR4326275,19.1
velvet21,ERR4326275,18.1
metavelvet21,ERR4326275,18.1
velvet63,ERR4326275,18.0
metavelvet63,ERR4326275,18.0
velvet99,ERR4326275,17.2
metavelvet99,ERR4326275,17.8
ray21,ERR4326275,20.7
ray63,ERR4326275,20.2
ray99,ERR4326275,20.2
megahit,ERR4296986,15.3
trinity,ERR4296986,14.5
spades,ERR4296986,26.9
metaspades,ERR4296986,37.0
abyss21,ERR4296986,19.9
abyss63,ERR4296986,20.4
abyss99,ERR4296986,20.3
velvet21,ERR4296986,23.9
metavelvet21,ERR4296986,23.9
velvet63,ERR4296986,19.4
metavelvet63,ERR4296986,19.7
velvet99,ERR4296986,19.5
metavelvet99,ERR4296986,19.4
