Assembler,Sample,Time(s)
abyss99,ERR4205464,12.64048456
velvet21,ERR4205464,10.625644746
metavelvet21,ERR4205464,11.84522203
velvet63,ERR4205464,6.9952479389999995
metavelvet63,ERR4205464,7.130465934
velvet99,ERR4205464,4.396212894
metavelvet99,ERR4205464,4.080122996
ray21,ERR4205464,176.87331076099997
ray63,ERR4205464,174.63457457299998
ray99,ERR4205464,170.726302226
megahit,ERR4316795,8.784838083
trinity,ERR4316795,0.703769353
spades,ERR4316795,26.765982885
metaspades,ERR4316795,53.726642265
abyss21,ERR4316795,18.989656236
abyss63,ERR4316795,18.927677096
abyss99,ERR4316795,15.32221175
velvet21,ERR4316795,16.356904398
metavelvet21,ERR4316795,16.101742834
velvet63,ERR4316795,10.132401409
metavelvet63,ERR4316795,10.04944073
velvet99,ERR4316795,6.577016057000001
metavelvet99,ERR4316795,6.691345537
ray21,ERR4316795,181.556299395
ray63,ERR4316795,178.218696407
ray99,ERR4316795,171.11277907
megahit,ERR4316392,13.368222814000001
trinity,ERR4316392,0.522749635
spades,ERR4316392,39.05763921
metaspades,ERR4316392,64.135750674
abyss21,ERR4316392,21.889674101
abyss63,ERR4316392,22.960878021
abyss99,ERR4316392,20.367563929
velvet21,ERR4316392,20.031777845
metavelvet21,ERR4316392,20.700844374000003
velvet63,ERR4316392,12.983128452
metavelvet63,ERR4316392,12.982559785
velvet99,ERR4316392,9.019760252000001
metavelvet99,ERR4316392,9.053032007999999
ray21,ERR4316392,262.669537478
ray63,ERR4316392,214.724111041
ray99,ERR4316392,214.937706927
megahit,ERR4316516,20.368352799
trinity,ERR4316516,0.828716899
spades,ERR4316516,62.030931396999996
metaspades,ERR4316516,91.31811657600001
abyss21,ERR4316516,31.335740989
abyss63,ERR4316516,33.509692462
abyss99,ERR4316516,29.559229129000002
velvet21,ERR4316516,30.357648305999998
metavelvet21,ERR4316516,29.526817175
velvet63,ERR4316516,18.962201878
metavelvet63,ERR4316516,18.845870245
velvet99,ERR4316516,13.172477749
metavelvet99,ERR4316516,13.258574264000002
ray21,ERR4316516,274.017762759
ray63,ERR4316516,261.227126581
ray99,ERR4316516,258.320582706
megahit,ERR4326275,9.309104041
trinity,ERR4326275,0.822046825
spades,ERR4326275,23.185182435999998
metaspades,ERR4326275,44.348443101
abyss21,ERR4326275,15.039903407999999
abyss63,ERR4326275,15.329030305999998
abyss99,ERR4326275,12.678848365999999
velvet21,ERR4326275,12.096382074000001
metavelvet21,ERR4326275,12.094587745999998
velvet63,ERR4326275,7.943825401000001
metavelvet63,ERR4326275,8.030152917999999
velvet99,ERR4326275,5.364740021999999
metavelvet99,ERR4326275,5.44738306
ray21,ERR4326275,215.926057563
ray63,ERR4326275,183.292228395
ray99,ERR4326275,190.552559395
megahit,ERR4296986,19.352784907
trinity,ERR4296986,0.81963399
spades,ERR4296986,69.8849691
metaspades,ERR4296986,81.999768338
abyss21,ERR4296986,46.297575529
abyss63,ERR4296986,44.747942813
abyss99,ERR4296986,34.270301723
velvet21,ERR4296986,31.547402413
metavelvet21,ERR4296986,31.353179282
velvet63,ERR4296986,17.926607609
metavelvet63,ERR4296986,18.176179007
velvet99,ERR4296986,10.899906142999999
metavelvet99,ERR4296986,10.654411186
ray21,ERR4296986,272.635556074
ray63,ERR4296986,297.677056804
ray99,ERR4296986,290.172024998
megahit,ERR4326292,29.46868568
trinity,ERR4326292,0.55655884
spades,ERR4326292,68.722353364
metaspades,ERR4326292,115.60648657799999
abyss21,ERR4326292,65.88833968899999
abyss63,ERR4326292,35.22891205
abyss99,ERR4326292,27.68455148
velvet21,ERR4326292,23.802723615999998
metavelvet21,ERR4326292,23.837471143000002
velvet63,ERR4326292,13.752076695
metavelvet63,ERR4326292,13.73286423
velvet99,ERR4326292,8.319008339
metavelvet99,ERR4326292,8.31156391
ray21,ERR4326292,308.512900325
ray63,ERR4326292,342.861934627
ray99,ERR4326292,343.391430335
megahit,ERR4316363,15.451037380999999
trinity,ERR4316363,0.9779845340000001
spades,ERR4316363,37.249614111999996
metaspades,ERR4316363,69.219436353
abyss21,ERR4316363,24.63458072
abyss63,ERR4316363,25.335663153000002
abyss99,ERR4316363,21.781288579
velvet21,ERR4316363,21.40186322
metavelvet21,ERR4316363,21.293144109
velvet63,ERR4316363,13.548900019000001
metavelvet63,ERR4316363,13.313972403
velvet99,ERR4316363,9.59385038
metavelvet99,ERR4316363,9.556120196
ray21,ERR4316363,182.22998415700002
ray63,ERR4316363,192.86947491
ray99,ERR4316363,195.07456893900002
